Address,SoldPrice,Bedrooms,Bathrooms,AreaSqFt,PropertyType,Neighborhood
"201 Harrison St Apt 710, San Francisco, CA, 94105",640000,2.0,2.0,797.0,CONDOS,San Francisco
"377 29th Ave, San Francisco, CA, 94121",2100000,2.0,1.0,1266.0,SINGLE_FAMILY,San Francisco
"101 Morse St, San Francisco, CA, 94112",1060000,2.0,1.0,1050.0,SINGLE_FAMILY,San Francisco
"600 Alvarado St Apt 4, San Francisco, CA, 94114",2150000,3.0,2.0,1775.0,CONDOS,San Francisco
"619 Diamond St, San Francisco, CA, 94114",5500000,3.0,3.0,3037.0,SINGLE_FAMILY,San Francisco
"3345 17th St Apt 5, San Francisco, CA, 94110",775000,1.0,1.0,1015.0,CONDOS,San Francisco
"37 Prospect Ave, San Francisco, CA, 94110",2160000,5.0,2.0,2750.0,SINGLE_FAMILY,San Francisco
"2840 Anza St, San Francisco, CA, 94121",1201000,4.0,2.0,2040.0,SINGLE_FAMILY,San Francisco
"3747 Scott St, San Francisco, CA, 94123",1795000,2.0,1.0,1370.0,CONDOS,San Francisco
"769 Athens St, San Francisco, CA, 94112",1250000,3.0,2.0,1700.0,SINGLE_FAMILY,San Francisco
"2912 Pacific Ave, San Francisco, CA, 94115",9950000,5.0,5.0,5839.0,SINGLE_FAMILY,San Francisco
"1465 12th Ave, San Francisco, CA, 94122",1250000,4.0,2.0,1350.0,CONDO,San Francisco
"2401 Jackson St Unit 2, San Francisco, CA, 94115",1600000,2.0,2.0,1502.0,CONDOS,San Francisco
"847 Fillmore St, San Francisco, CA, 94117",4582500,4.0,3.0,4619.0,SINGLE_FAMILY,San Francisco
"486 NW Yale St, San Francisco, CA, 94134",1380000,4.0,2.0,2145.0,SINGLE_FAMILY,San Francisco
"272 Farallones St, San Francisco, CA, 94112",1100000,2.0,1.0,1118.0,SINGLE_FAMILY,San Francisco
"8 Buchanan St Unit 610, San Francisco, CA, 94102",1117000,2.0,2.0,1034.0,CONDO,San Francisco
"9 Carpenter Ct, San Francisco, CA, 94124",992124,3.0,2.0,1603.0,SINGLE_FAMILY,San Francisco
"708 Long Bridge St Apt 207, San Francisco, CA, 94158",1600000,2.0,2.0,1475.0,CONDOS,San Francisco
"99 Rausch St Unit 114, San Francisco, CA, 94103",785000,2.0,2.0,1059.0,CONDOS,San Francisco
"541 29th St # 1, San Francisco, CA, 94131",1750000,2.0,2.0,1177.0,CONDO,San Francisco
"213 Gold Mine Dr, San Francisco, CA, 94131",2550000,3.0,3.0,2441.0,SINGLE_FAMILY,San Francisco
"125 Highland Ave, San Francisco, CA, 94110",850000,3.0,1.0,1064.0,CONDOS,San Francisco
"175 Bluxome St Unit 213, San Francisco, CA, 94107",730000,2.0,2.0,1072.0,CONDOS,San Francisco
"1000 N Point St Apt 1607, San Francisco, CA, 94109",1185000,2.0,1.0,,CONDOS,San Francisco
"195 7th St Apt 404, San Francisco, CA, 94103",250000,0.0,1.0,332.0,CONDOS,San Francisco
"369 18th Ave Unit 306, San Francisco, CA, 94121",910000,1.0,1.0,814.0,CONDO,San Francisco
"471 Clipper St, San Francisco, CA, 94114",2475000,3.0,2.0,,SINGLE_FAMILY,San Francisco
"2871 Clay St, San Francisco, CA, 94115",2475000,3.0,2.0,1910.0,CONDOS,San Francisco
"557 Congo St, San Francisco, CA, 94131",1240000,2.0,1.0,935.0,SINGLE_FAMILY,San Francisco
"670 10th Ave, San Francisco, CA, 94118",1200000,2.0,1.0,1438.0,CONDOS,San Francisco
"3569 17th St, San Francisco, CA, 94110",1760000,3.0,2.0,1516.0,CONDO,San Francisco
"144 Dore St, San Francisco, CA, 94103",900000,2.0,1.0,1124.0,SINGLE_FAMILY,San Francisco
"371 Wawona St, San Francisco, CA, 94127",1925000,3.0,2.0,1705.0,SINGLE_FAMILY,San Francisco
"3649 California St, San Francisco, CA, 94118",1150000,1.0,1.0,1055.0,CONDOS,San Francisco
"431 Teresita Blvd, San Francisco, CA, 94127",1378000,3.0,2.0,1720.0,SINGLE_FAMILY,San Francisco
"783 27th St, San Francisco, CA, 94131",2632500,2.0,3.0,1840.0,SINGLE_FAMILY,San Francisco
"1817 California St Apt 2C, San Francisco, CA, 94109",815000,2.0,1.0,814.0,CONDOS,San Francisco
"400 Grove St Unit 209, San Francisco, CA, 94102",1205000,2.0,2.0,1012.0,CONDOS,San Francisco
"1 Daniel Burnham Ct Apt 415, San Francisco, CA, 94109",600000,1.0,1.0,716.0,CONDO,San Francisco
"875 California St Unit 601, San Francisco, CA, 94108",1945125,2.0,2.0,1408.0,CONDOS,San Francisco
"1864 Ellis St Apt E, San Francisco, CA, 94115",578000,2.0,1.0,825.0,CONDOS,San Francisco
"229 Brannan St Unit 2D, San Francisco, CA, 94107",1450000,2.0,2.0,1404.0,CONDOS,San Francisco
"965 Folsom St Apt 303, San Francisco, CA, 94107",725000,2.0,1.0,1199.0,CONDOS,San Francisco
"207 Wayland St, San Francisco, CA, 94134",1356000,6.0,4.0,2000.0,MULTI_FAMILY,San Francisco
"1829 Scott St, San Francisco, CA, 94115",2900000,3.0,2.0,1763.0,SINGLE_FAMILY,San Francisco
"706 Mission St, San Francisco, CA, 94103",4200000,3.0,3.0,3462.0,CONDO,San Francisco
"1702 Church St, San Francisco, CA, 94131",1400000,4.0,3.0,1830.0,SINGLE_FAMILY,San Francisco
"450 Myra Way, San Francisco, CA, 94127",1460000,2.0,1.0,927.0,SINGLE_FAMILY,San Francisco
"379 Joost Ave, San Francisco, CA, 94131",1930000,3.0,2.0,2495.0,SINGLE_FAMILY,San Francisco
"1139B Green St # 1139D, San Francisco, CA, 94109",1711000,,2.0,562.0,SINGLE_FAMILY,San Francisco
"1209 35th Ave, San Francisco, CA, 94122",337500,,1.0,1317.0,SINGLE_FAMILY,San Francisco
"446 21st Ave, San Francisco, CA, 94121",1201000,,2.0,2040.0,MULTI_FAMILY,San Francisco
"107 Escolta Way, San Francisco, CA, 94116",1460000,2.0,1.0,1325.0,SINGLE_FAMILY,San Francisco
"1462 29th Ave, San Francisco, CA, 94122",1660000,3.0,1.0,1780.0,SINGLE_FAMILY,San Francisco
"1257 Vallejo St # B, San Francisco, CA, 94109",2470000,3.0,3.0,2084.0,CONDO,San Francisco
"376 Pacheco St, San Francisco, CA, 94116",2595000,5.0,3.0,3155.0,SINGLE_FAMILY,San Francisco
"69 Montcalm St, San Francisco, CA, 94110",956660,3.0,1.0,1100.0,SINGLE_FAMILY,San Francisco
"999 Green St Apt 1901, San Francisco, CA, 94133",2725000,2.0,2.0,1300.0,CONDOS,San Francisco
"488 Folsom St Apt 3401, San Francisco, CA, 94105",3195000,3.0,3.0,2053.0,CONDOS,San Francisco
"2125 Bryant St Apt 103, San Francisco, CA, 94110",1348000,2.0,2.0,1312.0,CONDOS,San Francisco
"3470 21st St, San Francisco, CA, 94110",2900000,7.0,4.0,3350.0,OTHER,San Francisco
"555 4th St Unit 828, San Francisco, CA, 94107",655000,1.0,1.0,680.0,CONDOS,San Francisco
"2001 McAllister St Apt 255, San Francisco, CA, 94118",1090000,2.0,2.0,1405.0,CONDOS,San Francisco
"2875 Jackson St Apt 5, San Francisco, CA, 94115",1125000,2.0,1.0,1363.0,CONDO,San Francisco
"1055 Alabama St, San Francisco, CA, 94110",1200000,2.0,2.0,980.0,SINGLE_FAMILY,San Francisco
"675 Victoria St, San Francisco, CA, 94127",1700000,4.0,3.0,2213.0,SINGLE_FAMILY,San Francisco
"301 Main St Unit 7B, San Francisco, CA, 94105",1650000,2.0,2.0,1812.0,CONDOS,San Francisco
"301 Arlington St, San Francisco, CA, 94131",775000,2.0,1.0,999.0,CONDOS,San Francisco
"520 Chestnut St Apt 301, San Francisco, CA, 94133",840000,1.0,1.0,868.0,CONDOS,San Francisco
"153 Lobos St, San Francisco, CA, 94112",895000,2.0,1.0,926.0,SINGLE_FAMILY,San Francisco
"1317 Hyde St Apt 4, San Francisco, CA, 94109",1200000,2.0,1.0,1252.0,CONDOS,San Francisco
"3921 18th St, San Francisco, CA, 94114",1545000,2.0,1.0,1565.0,SINGLE_FAMILY,San Francisco
"1731 29th Ave, San Francisco, CA, 94122",1500000,3.0,2.0,1325.0,SINGLE_FAMILY,San Francisco
"446 17th Ave, San Francisco, CA, 94121",1970000,3.0,1.0,2380.0,SINGLE_FAMILY,San Francisco
"83 McAllister St Apt 106, San Francisco, CA, 94102",330000,0.0,1.0,323.0,CONDOS,San Francisco
"2268 Pine St, San Francisco, CA, 94115",4000000,5.0,4.0,3103.0,SINGLE_FAMILY,San Francisco
"421 Point Lobos Ave, San Francisco, CA, 94121",2700000,4.0,4.0,2361.0,SINGLE_FAMILY,San Francisco
"578 Vermont St, San Francisco, CA, 94107",1150000,,1.0,1100.0,SINGLE_FAMILY,San Francisco
"1450 Franklin St Apt 703, San Francisco, CA, 94109",787500,1.0,1.0,699.0,CONDOS,San Francisco
"875 California St Unit 505, San Francisco, CA, 94108",1691000,2.0,2.0,1321.0,CONDO,San Francisco
"1554 Shafter Ave, San Francisco, CA, 94124",1075000,4.0,2.0,1756.0,SINGLE_FAMILY,San Francisco
"734 17th Ave, San Francisco, CA, 94121",1615000,2.0,1.0,1285.0,SINGLE_FAMILY,San Francisco
"3362 Clay St, San Francisco, CA, 94118",12200000,4.0,5.0,6608.0,SINGLE_FAMILY,San Francisco
"1139B Green St, San Francisco, CA, 94109",1710000,2.0,1.0,1375.0,MULTI_FAMILY,San Francisco
"283 Parker Ave, San Francisco, CA, 94118",2400000,8.0,6.0,4650.0,MULTI_FAMILY,San Francisco
"241-243 Scott St, San Francisco, CA, 94117",3241875,6.0,4.0,3000.0,MULTI_FAMILY,San Francisco
"102 Thornton Ave, San Francisco, CA, 94124",850000,3.0,2.0,2025.0,SINGLE_FAMILY,San Francisco
"27 Seal Rock Dr, San Francisco, CA, 94121",1500000,2.0,2.0,1350.0,SINGLE_FAMILY,San Francisco
"986 S Van Ness Ave Unit 501, San Francisco, CA, 94110",670000,1.0,1.0,543.0,CONDOS,San Francisco
"460 Fillmore St Unit 3, San Francisco, CA, 94117",1425000,2.0,2.0,1500.0,CONDOS,San Francisco
"400 Grove St Unit 405, San Francisco, CA, 94102",1217500,2.0,2.0,1194.0,CONDO,San Francisco
"718 Long Bridge St Apt 705, San Francisco, CA, 94158",1870000,2.0,2.0,1579.0,CONDOS,San Francisco
"560 Valencia St, San Francisco, CA, 94110",9975000,,1.0,4984.0,OTHER,San Francisco
"3726 Webster St, San Francisco, CA, 94123",1930000,2.0,2.0,1500.0,CONDOS,San Francisco
"1436 Diamond St, San Francisco, CA, 94131",1875000,2.0,2.0,1312.0,SINGLE_FAMILY,San Francisco
"1228 Grove St Apt 2, San Francisco, CA, 94117",1000000,2.0,1.0,866.0,CONDOS,San Francisco
"241 10th St Unit 207, San Francisco, CA, 94103",499000,1.0,1.0,,CONDOS,San Francisco
"68 Madrone Ave, San Francisco, CA, 94127",3435000,3.0,3.0,2836.0,SINGLE_FAMILY,San Francisco
"906 Guerrero St, San Francisco, CA, 94110",1550000,,3.0,4007.0,MULTI_FAMILY,San Francisco
"2055-2059 Powell St, San Francisco, CA, 94133",2400000,13.0,,7416.0,MULTI_FAMILY,San Francisco
"3333 Jackson St, San Francisco, CA, 94118",7650000,6.0,3.0,4963.0,SINGLE_FAMILY,San Francisco
"101 Lombard St Apt 608W, San Francisco, CA, 94111",1865000,3.0,2.0,1790.0,CONDOS,San Francisco
"Grove St Unit 405, San Francisco, CA, 94102",1217500,2.0,2.0,1194.0,CONDOS,San Francisco
"2057 15th St Apt C, San Francisco, CA, 94114",1155000,3.0,1.0,,SINGLE_FAMILY,San Francisco
"5853 Mission St Apt 9, San Francisco, CA, 94112",480000,1.0,1.0,708.0,CONDOS,San Francisco
"74 New Montgomery St Unit 409, San Francisco, CA, 94105",420000,1.0,1.0,486.0,CONDOS,San Francisco
"146 Dore St, San Francisco, CA, 94103",970000,3.0,1.0,1112.0,SINGLE_FAMILY,San Francisco
"916 Rolph St, San Francisco, CA, 94112",540000,3.0,1.0,1071.0,SINGLE_FAMILY,San Francisco
"870 N Point St Apt 302, San Francisco, CA, 94109",1650000,3.0,2.0,1511.0,CONDO,San Francisco
"875 California St Unit 302, San Francisco, CA, 94108",1600000,2.0,2.0,1430.0,CONDO,San Francisco
"646 15th Ave, San Francisco, CA, 94118",2550000,3.0,2.0,,SINGLE_FAMILY,San Francisco
"1320 DE Haro St Unit 101, San Francisco, CA, 94107",1200000,3.0,3.0,1830.0,CONDOS,San Francisco
"7 Wright St, San Francisco, CA, 94110",1225000,3.0,2.0,1600.0,SINGLE_FAMILY,San Francisco
"6 Bonview St, San Francisco, CA, 94110",3345000,4.0,4.0,2907.0,SINGLE_FAMILY,San Francisco
"2170 Jackson St Unit 1, San Francisco, CA, 94115",4000000,3.0,3.0,3300.0,CONDOS,San Francisco
"451 Kansas St Unit 547, San Francisco, CA, 94107",746000,1.0,1.0,694.0,CONDOS,San Francisco
"680 Connecticut St, San Francisco, CA, 94107",1550000,,1.0,1150.0,SINGLE_FAMILY,San Francisco
"819 Masonic Ave, San Francisco, CA, 94117",1082000,2.0,1.0,1225.0,CONDOS,San Francisco
"538 Paris St, San Francisco, CA, 94112",906667,,1.0,1250.0,SINGLE_FAMILY,San Francisco
"51 Dorado Ter, San Francisco, CA, 94112",1050000,3.0,2.0,1400.0,CONDO,San Francisco
"2941-2943 Broderick St, San Francisco, CA, 94123",2600000,4.0,2.0,2674.0,MULTI_FAMILY,San Francisco
"49-51 Dorado Ter, San Francisco, CA, 94112",2100000,8.0,5.0,,MULTI_FAMILY,San Francisco
"121 Peralta Ave, San Francisco, CA, 94110",1300000,3.0,2.0,1154.0,SINGLE_FAMILY,San Francisco
"1725 20th St, San Francisco, CA, 94107",2150000,3.0,3.0,1905.0,CONDOS,San Francisco
"1373 Rhode Island St, San Francisco, CA, 94107",827000,2.0,1.0,906.0,SINGLE_FAMILY,San Francisco
"2307 9th Ave, San Francisco, CA, 94116",1310000,3.0,1.0,915.0,SINGLE_FAMILY,San Francisco
"1160 Mission St Unit 608, San Francisco, CA, 94103",995000,3.0,2.0,1359.0,CONDOS,San Francisco
"170 King St Unit 211, San Francisco, CA, 94107",810000,2.0,2.0,900.0,CONDOS,San Francisco
"2418 30th Ave, San Francisco, CA, 94116",2238888,5.0,4.0,2464.0,SINGLE_FAMILY,San Francisco
"1530 Jones St Apt 3, San Francisco, CA, 94109",730000,,6.0,4440.0,OTHER,San Francisco
"159 Ney St, San Francisco, CA, 94112",815000,2.0,1.0,875.0,SINGLE_FAMILY,San Francisco
"275 Oak St, San Francisco, CA, 94102",447500,5.0,4.0,3382.0,MULTI_FAMILY,San Francisco
"218 Ellsworth St, San Francisco, CA, 94110",2900000,3.0,3.0,2150.0,SINGLE_FAMILY,San Francisco
"2260 Leavenworth St, San Francisco, CA, 94133",3700000,5.0,4.0,3792.0,SINGLE_FAMILY,San Francisco
"1250 Jones St Unit 1702, San Francisco, CA, 94109",1180000,1.0,2.0,1120.0,CONDOS,San Francisco
"77 Dow Pl Apt 909, San Francisco, CA, 94107",749000,1.0,1.0,1156.0,CONDOS,San Francisco
"181 Fremont St Unit 56B, San Francisco, CA, 94105",3900000,2.0,2.0,2226.0,CONDOS,San Francisco
"1 Western Shore Ln Apt 3, San Francisco, CA, 94115",515000,2.0,1.0,840.0,CONDOS,San Francisco
"1630 Clay St Apt 4, San Francisco, CA, 94109",695000,1.0,1.0,634.0,CONDOS,San Francisco
"764 Cole St Apt 1, San Francisco, CA, 94117",499000,0.0,1.0,,CONDOS,San Francisco
"2041 Thomas Ave, San Francisco, CA, 94124",888000,2.0,1.0,1275.0,SINGLE_FAMILY,San Francisco
"451 Kansas St Unit 518, San Francisco, CA, 94107",925000,2.0,2.0,,CONDOS,San Francisco
"259 Upper Ter, San Francisco, CA, 94117",1305000,4.0,4.0,2404.0,MULTI_FAMILY,San Francisco
"1755 Jackson St Apt 304, San Francisco, CA, 94109",2100000,2.0,3.0,1975.0,CONDOS,San Francisco
"260 King St Unit 1113, San Francisco, CA, 94107",392500,1.0,1.0,814.0,CONDO,San Francisco
"3983 19th St, San Francisco, CA, 94114",1710000,3.0,2.0,2068.0,SINGLE_FAMILY,San Francisco
"718 Long Bridge St Apt 1402, San Francisco, CA, 94158",2300000,2.0,2.0,1346.0,CONDO,San Francisco
"2750 Scott St, San Francisco, CA, 94123",4995000,3.0,3.0,3145.0,SINGLE_FAMILY,San Francisco
"250 Silver Ave, San Francisco, CA, 94112",650000,2.0,1.0,1420.0,SINGLE_FAMILY,San Francisco
"829 Folsom St Unit 806, San Francisco, CA, 94107",567000,1.0,1.0,675.0,CONDOS,San Francisco
"2200-2202 Bryant St, San Francisco, CA, 94110",1925000,9.0,5.0,5400.0,MULTI_FAMILY,San Francisco
"1370 Green St, San Francisco, CA, 94109",2215000,3.0,1.0,1861.0,CONDO,San Francisco
"3445 Fillmore St, San Francisco, CA, 94123",2100000,3.0,2.0,2030.0,SINGLE_FAMILY,San Francisco
"980 Sanchez St, San Francisco, CA, 94114",1300000,1.0,2.0,1159.0,SINGLE_FAMILY,San Francisco
"1734 38th Ave, San Francisco, CA, 94122",1590000,3.0,2.0,,SINGLE_FAMILY,San Francisco
"725 18th Ave, San Francisco, CA, 94121",1528000,8.0,5.0,4040.0,MULTI_FAMILY,San Francisco
"37 San Jacinto Way, San Francisco, CA, 94127",1910000,4.0,3.0,2760.0,SINGLE_FAMILY,San Francisco
"24 Magnolia St, San Francisco, CA, 94123",1365000,3.0,1.0,1331.0,CONDOS,San Francisco
"391 30th Ave, San Francisco, CA, 94121",590000,3.0,1.0,1700.0,SINGLE_FAMILY,San Francisco
"1708 Filbert St, San Francisco, CA, 94123",2750000,12.0,,6315.0,MULTI_FAMILY,San Francisco
"1601 34th Ave, San Francisco, CA, 94122",1540000,3.0,2.0,1786.0,SINGLE_FAMILY,San Francisco
"915 N Point St Unit 401, San Francisco, CA, 94109",1450000,2.0,2.0,769.0,CONDOS,San Francisco
"605 Carolina St, San Francisco, CA, 94107",975000,2.0,2.0,1100.0,CONDOS,San Francisco
"1400 Mission St Apt 702, San Francisco, CA, 94103",505309,3.0,2.0,1424.0,CONDOS,San Francisco
"2595 26th Ave, San Francisco, CA, 94116",2500000,5.0,4.0,2569.0,SINGLE_FAMILY,San Francisco
"815 Tennessee St Unit 511, San Francisco, CA, 94107",1170000,2.0,2.0,,CONDOS,San Francisco
"46 Otsego Ave, San Francisco, CA, 94112",1425000,2.0,1.0,1450.0,SINGLE_FAMILY,San Francisco
"751-753 8th Ave, San Francisco, CA, 94118",1520000,5.0,3.0,3330.0,MULTI_FAMILY,San Francisco
"787 Arguello Blvd, San Francisco, CA, 94118",1500000,3.0,1.0,1558.0,CONDOS,San Francisco
"914 Russia Ave, San Francisco, CA, 94112",1000000,2.0,1.0,975.0,SINGLE_FAMILY,San Francisco
"814 Hayes St Apt 2, San Francisco, CA, 94117",1470000,3.0,2.0,1485.0,CONDOS,San Francisco
"221 Lily St, San Francisco, CA, 94102",875000,2.0,1.0,1061.0,SINGLE_FAMILY,San Francisco
"1615 Gough St, San Francisco, CA, 94109",4475000,,6.0,5175.0,OTHER,San Francisco
"1 S Park St Apt 308, San Francisco, CA, 94107",1375000,2.0,2.0,1199.0,CONDOS,San Francisco
"1925 Pacific Ave Apt 1, San Francisco, CA, 94109",2300000,3.0,2.0,,CONDOS,San Francisco
"401 Harrison St Apt 45C, San Francisco, CA, 94105",2375000,2.0,2.0,1589.0,CONDOS,San Francisco
"2395 42nd Ave, San Francisco, CA, 94116",1210000,2.0,1.0,1212.0,SINGLE_FAMILY,San Francisco
"2279 15th St, San Francisco, CA, 94114",2600000,7.0,4.0,3514.0,SINGLE_FAMILY,San Francisco
"110 Channel St Unit 426, San Francisco, CA, 94158",937000,1.0,1.0,835.0,CONDOS,San Francisco
"765 Market St Apt 31F, San Francisco, CA, 94103",3125000,3.0,3.0,2700.0,CONDOS,San Francisco
"528 Berry St Unit TH14, San Francisco, CA, 94107",494626,2.0,1.0,995.0,TOWNHOMES,San Francisco
"246 Ralston St, San Francisco, CA, 94132",1380000,3.0,2.0,1369.0,SINGLE_FAMILY,San Francisco
"67 Rome St, San Francisco, CA, 94112",1356000,4.0,3.0,2140.0,SINGLE_FAMILY,San Francisco
"376 San Carlos St Unit B, San Francisco, CA, 94110",732000,1.0,1.0,,CONDOS,San Francisco
"3622 Rivera St, San Francisco, CA, 94116",950000,,1.0,1196.0,SINGLE_FAMILY,San Francisco
"34 Steiner St, San Francisco, CA, 94117",1600000,31.0,28.0,16771.0,OTHER,San Francisco
"630-632 Russia Ave, San Francisco, CA, 94112",695000,4.0,2.0,2060.0,MULTI_FAMILY,San Francisco
"1619 Gough St, San Francisco, CA, 94109",4475000,,6.0,5175.0,OTHER,San Francisco
"25 Las Villas Ct, San Francisco, CA, 94124",885000,3.0,2.0,1515.0,SINGLE_FAMILY,San Francisco
"5-7 Duncan St, San Francisco, CA, 94110",1475000,6.0,,2560.0,MULTI_FAMILY,San Francisco
"2813-2815 19th St, San Francisco, CA, 94110",1940000,3.0,2.0,2685.0,MULTI_FAMILY,San Francisco
"5 College Ter, San Francisco, CA, 94112",1442000,4.0,2.0,1987.0,SINGLE_FAMILY,San Francisco
"1418 27th Ave, San Francisco, CA, 94122",2650000,4.0,4.0,2403.0,SINGLE_FAMILY,San Francisco
"88 King St Unit 909, San Francisco, CA, 94107",1250000,2.0,2.0,1090.0,CONDOS,San Francisco
"1316 Larkin St, San Francisco, CA, 94109",970000,3.0,1.0,1556.0,CONDOS,San Francisco
"338 Main St Unit 19G, San Francisco, CA, 94105",1875000,2.0,2.0,1401.0,CONDOS,San Francisco
"1836-1840 Broadway St, San Francisco, CA, 94109",4000000,8.0,6.0,4308.0,MULTI_FAMILY,San Francisco
"166 Townsend St, San Francisco, CA, 94107",37750000,,2.0,0.0,MULTI_FAMILY,San Francisco
"109 S Lake Merced Hls Apt 1A, San Francisco, CA, 94132",805000,2.0,2.0,1269.0,CONDOS,San Francisco
"1034-1042 Washington St, San Francisco, CA, 94108",2500000,0.0,,8691.0,MULTI_FAMILY,San Francisco
"620 Detroit St, San Francisco, CA, 94131",1470000,2.0,2.0,,SINGLE_FAMILY,San Francisco
"1250 Vallejo St Apt 2, San Francisco, CA, 94109",820000,2.0,1.0,782.0,SINGLE_FAMILY,San Francisco
"3659 California St, San Francisco, CA, 94118",1695000,2.0,2.0,1390.0,CONDOS,San Francisco
"2175 Quesada Ave, San Francisco, CA, 94124",1500000,5.0,3.0,2334.0,SINGLE_FAMILY,San Francisco
"254 Clara St, San Francisco, CA, 94107",2850000,,,,LAND,San Francisco
"140 S Van Ness Ave Unit 909, San Francisco, CA, 94103",635000,1.0,1.0,795.0,CONDOS,San Francisco
"555 Fulton St Unit 312, San Francisco, CA, 94102",1245000,2.0,2.0,1051.0,CONDOS,San Francisco
"840 26th Ave, San Francisco, CA, 94121",1650000,4.0,2.0,2004.0,CONDOS,San Francisco
"555 Lisbon St, San Francisco, CA, 94112",1125000,3.0,1.0,1500.0,SINGLE_FAMILY,San Francisco
"1319 S Van Ness Ave, San Francisco, CA, 94110",1175000,5.0,3.0,2250.0,MULTI_FAMILY,San Francisco
"134 Monticello St, San Francisco, CA, 94132",800000,,1.0,1000.0,SINGLE_FAMILY,San Francisco
"69 Lobos St, San Francisco, CA, 94112",1330000,3.0,2.0,1755.0,SINGLE_FAMILY,San Francisco
"919 Capitol Ave, San Francisco, CA, 94112",670000,,1.0,875.0,SINGLE_FAMILY,San Francisco
"1643 43rd Ave, San Francisco, CA, 94122",2450000,3.0,2.0,2100.0,SINGLE_FAMILY,San Francisco
"8 Octavia St Unit 602, San Francisco, CA, 94102",900000,2.0,2.0,1001.0,CONDOS,San Francisco
"209 Sanchez St, San Francisco, CA, 94114",2150000,5.0,6.0,4137.0,OTHER,San Francisco
"90 Justin Dr, San Francisco, CA, 94112",2300000,4.0,2.0,1980.0,SINGLE_FAMILY,San Francisco
"2207 25th Ave, San Francisco, CA, 94116",1520000,3.0,2.0,1794.0,SINGLE_FAMILY,San Francisco
"205 Dellbrook Ave, San Francisco, CA, 94131",2200000,4.0,2.0,1797.0,SINGLE_FAMILY,San Francisco
"309 Steiner St Apt C, San Francisco, CA, 94117",500000,,1.0,774.0,CONDO,San Francisco
"1155 Leavenworth St Apt 7, San Francisco, CA, 94109",375000,0.0,1.0,,SINGLE_FAMILY,San Francisco
"257 Hale St, San Francisco, CA, 94134",850000,,1.0,1275.0,SINGLE_FAMILY,San Francisco
"1515 Union St Unit Ph 3, San Francisco, CA, 94123",2950000,2.0,2.0,1772.0,CONDOS,San Francisco
"699 36th Ave Apt 308, San Francisco, CA, 94121",1255000,3.0,3.0,1639.0,CONDOS,San Francisco
"3029-3031 Laguna St, San Francisco, CA, 94123",1475000,3.0,,2009.0,MULTI_FAMILY,San Francisco
"670 Page St, San Francisco, CA, 94117",1400000,2.0,2.0,1300.0,CONDOS,San Francisco
"1600 Webster St Apt 409, San Francisco, CA, 94115",780000,1.0,1.0,717.0,CONDOS,San Francisco
"1220 Jones St Unit 601, San Francisco, CA, 94109",3800000,3.0,3.0,2715.0,CONDOS,San Francisco
"17 Ora Way, San Francisco, CA, 94131",2200000,4.0,3.0,2663.0,SINGLE_FAMILY,San Francisco
"1325 Hawes St, San Francisco, CA, 94124",620000,2.0,1.0,1010.0,SINGLE_FAMILY,San Francisco
"239 Bright St, San Francisco, CA, 94132",880000,,1.0,1000.0,SINGLE_FAMILY,San Francisco
"2299 Market St Apt 503, San Francisco, CA, 94114",1530000,2.0,2.0,969.0,CONDOS,San Francisco
"1608 Fulton St, San Francisco, CA, 94117",1386000,3.0,1.0,1287.0,CONDOS,San Francisco
"1970 Jackson St, San Francisco, CA, 94109",12000000,5.0,5.0,5652.0,SINGLE_FAMILY,San Francisco
"232 28th St, San Francisco, CA, 94131",300000,3.0,2.0,2050.0,SINGLE_FAMILY,San Francisco
"233 Franklin St Apt 404, San Francisco, CA, 94102",750000,1.0,1.0,870.0,CONDOS,San Francisco
"287 Corbett Ave, San Francisco, CA, 94114",1125000,2.0,2.0,1144.0,CONDOS,San Francisco
"830 Stanyan St, San Francisco, CA, 94117",247500,,5.0,,OTHER,San Francisco
"1096 Fulton St, San Francisco, CA, 94117",4450000,6.0,,9282.0,MULTI_FAMILY,San Francisco
"1554 Powell St, San Francisco, CA, 94133",1375000,4.0,2.0,2100.0,SINGLE_FAMILY,San Francisco
"306 San Benito Way, San Francisco, CA, 94127",2700000,4.0,4.0,3467.0,SINGLE_FAMILY,San Francisco
"1633 Beach St, San Francisco, CA, 94123",2400000,3.0,3.0,2250.0,SINGLE_FAMILY,San Francisco
"316-318 Laurel St, San Francisco, CA, 94118",5499000,5.0,7.0,5085.0,MULTI_FAMILY,San Francisco
"2738 Great Hwy, San Francisco, CA, 94116",2738000,3.0,2.0,1938.0,SINGLE_FAMILY,San Francisco
"932 Cabrillo St, San Francisco, CA, 94118",440000,,6.0,5355.0,OTHER,San Francisco
"97 28th St, San Francisco, CA, 94110",1030000,2.0,1.0,,CONDOS,San Francisco
"51 Ellsworth St, San Francisco, CA, 94110",905000,3.0,2.0,1193.0,SINGLE_FAMILY,San Francisco
"255 Shipley St, San Francisco, CA, 94107",2850000,,2.0,8500.0,OTHER,San Francisco
"2356 15th St, San Francisco, CA, 94114",2100000,2.0,2.0,1339.0,SINGLE_FAMILY,San Francisco
"15 Woodward St, San Francisco, CA, 94103",1100000,3.0,3.0,1639.0,CONDOS,San Francisco
"1030 Pacheco St, San Francisco, CA, 94116",1580000,3.0,2.0,1345.0,SINGLE_FAMILY,San Francisco
