Address,SoldPrice,Bedrooms,Bathrooms,AreaSqFt,PropertyType,Neighborhood
"723 Taylor St Apt 402, San Francisco, CA, 94108",655000,2.0,1.0,757.0,CONDOS,San Francisco
"1507 30th Ave, San Francisco, CA, 94122",1863000,3.0,2.0,2285.0,SINGLE_FAMILY,San Francisco
"884 Ingerson Ave, San Francisco, CA, 94124",985000,5.0,3.0,1789.0,SINGLE_FAMILY,San Francisco
"3740 Sacramento St, San Francisco, CA, 94118",3500000,5.0,1.0,3237.0,SINGLE_FAMILY,San Francisco
"55 Page St Apt 817, San Francisco, CA, 94102",875000,1.0,1.0,746.0,CONDOS,San Francisco
"1011 23rd St Apt 14, San Francisco, CA, 94107",1300000,2.0,2.0,1812.0,CONDOS,San Francisco
"301 Mission St Apt 8E, San Francisco, CA, 94105",800000,2.0,2.0,1098.0,CONDOS,San Francisco
"115 Pinehurst Way, San Francisco, CA, 94127",2305000,3.0,3.0,2655.0,SINGLE_FAMILY,San Francisco
"1099 Dolores St Unit A, San Francisco, CA, 94110",1685000,2.0,2.0,,CONDOS,San Francisco
"2207 Broderick St, San Francisco, CA, 94115",2700000,2.0,1.0,1180.0,SINGLE_FAMILY,San Francisco
"3555 17th St, San Francisco, CA, 94110",930000,1.0,1.0,1107.0,CONDOS,San Francisco
"837-839 Filbert St, San Francisco, CA, 94133",2090000,6.0,4.0,3666.0,MULTI_FAMILY,San Francisco
"219 Brannan St Unit 3G, San Francisco, CA, 94107",2050000,3.0,3.0,1694.0,CONDOS,San Francisco
"2415 Van Ness Ave Apt 504, San Francisco, CA, 94109",550000,1.0,1.0,631.0,CONDOS,San Francisco
"338 Main St Unit 6E, San Francisco, CA, 94105",1625000,2.0,2.0,1382.0,CONDOS,San Francisco
"3240-3242 Clay St, San Francisco, CA, 94115",3560000,4.0,,2750.0,MULTI_FAMILY,San Francisco
"2055 42nd Ave, San Francisco, CA, 94116",2088000,3.0,4.0,2236.0,SINGLE_FAMILY,San Francisco
"130 Meadowbrook Dr, San Francisco, CA, 94132",1580000,3.0,1.0,1644.0,SINGLE_FAMILY,San Francisco
"1940 Vallejo St Apt 3, San Francisco, CA, 94123",3500000,4.0,4.0,3000.0,CONDOS,San Francisco
"301 Mission St Apt 14A, San Francisco, CA, 94105",1020000,2.0,2.0,1479.0,CONDOS,San Francisco
"181 Parnassus Ave, San Francisco, CA, 94117",1600000,3.0,2.0,1120.0,CONDOS,San Francisco
"839 Cole St Unit 839, San Francisco, CA, 94117",1380000,2.0,2.0,1240.0,SINGLE_FAMILY,San Francisco
"837 Union St, San Francisco, CA, 94133",930000,2.0,1.0,,SINGLE_FAMILY,San Francisco
"204 Panorama Dr, San Francisco, CA, 94131",1380000,2.0,1.0,1026.0,SINGLE_FAMILY,San Francisco
"2663 California St, San Francisco, CA, 94115",2500000,8.0,,6195.0,MULTI_FAMILY,San Francisco
"1250 Vallejo St Apt 8, San Francisco, CA, 94109",750000,2.0,1.0,854.0,SINGLE_FAMILY,San Francisco
"1401-1405 Church St, San Francisco, CA, 94131",1695000,4.0,5.0,3754.0,MULTI_FAMILY,San Francisco
"1530 27th Ave, San Francisco, CA, 94122",1000000,2.0,1.0,1465.0,SINGLE_FAMILY,San Francisco
"1970 Sutter St Apt 203, San Francisco, CA, 94115",1175000,1.0,2.0,1075.0,CONDOS,San Francisco
"900 Bush St Apt 402, San Francisco, CA, 94109",510000,1.0,1.0,579.0,CONDOS,San Francisco
"1221 Harrison St Apt 1, San Francisco, CA, 94103",730000,1.0,2.0,1162.0,CONDOS,San Francisco
"19 Farallones St, San Francisco, CA, 94112",690000,2.0,1.0,800.0,SINGLE_FAMILY,San Francisco
"3014 Market St, San Francisco, CA, 94114",1485000,2.0,1.0,,SINGLE_FAMILY,San Francisco
"496 Ellsworth St, San Francisco, CA, 94110",1068000,1.0,1.0,840.0,SINGLE_FAMILY,San Francisco
"155 Harriet St Ste 8, San Francisco, CA, 94103",700000,2.0,2.0,1129.0,CONDOS,San Francisco
"1400 Mission St Apt 1400, San Francisco, CA, 94103",478000,2.0,1.0,780.0,CONDOS,San Francisco
